PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=1028 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=1015 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=1019 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=1091 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=1080 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=1095 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=1128 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=1131 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=1132 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=1135 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=1134 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=1065 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=974 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=980 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=977 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=987 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=799 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=869 ms
